Heading,Source,Date,Symbol
"Stocks in news: Infosys, Jio Financial, Wipro, ICICI Bank, SpiceJet",The Economic Times,17 Apr 2025,ICICIBANK
"HDFC Bank, ICICI Bank shares hit all-time high ahead of Q4 results. Which stock to buy?",Mint,17 Apr 2025,ICICIBANK
"ICICI Bank Q4 Results: Net profit up 18% YoY at Rs 12,630 crore, beats estimate; Rs 11 dividend declared",Moneycontrol,19 Apr 2025,ICICIBANK
Did ICICI Bank outperform HDFC Bank in the March 2025 quarter?,Financial Express,19 Apr 2025,ICICIBANK
"ICICI Bank exits ICICI Merchant Services, transfers entire 19% stake to First Data in strategic realignment",CNBC TV18,17 Apr 2025,ICICIBANK
"ICICI Bank Q4 preview: Analysts see up to 15% YoY jump in profit, flat NIM",Business Standard,17 Apr 2025,ICICIBANK
